arquivo,processo_numero,vara,comarca,magistrado_nome,magistrado_genero,magistrado_cargo,assinatura_datahora,assinatura_id_documento,decisao
00003039220058100128_000_02-07-2024_11-52-45_Sentença.html,0000303-92.2005.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,02/07/2024 11:52:45,123037392,EXTINTO SEM RESOLUÇÃO DE MÉRITO
00003081720058100128_000_12-03-2024_20-23-35_Sentença.html,0000308-17.2005.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,12/03/2024 20:23:35,112509676,EXTINTO
00003108420058100128_000_12-07-2024_11-38-36_Sentença.html,0000310-84.2005.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,12/07/2024 11:38:35,123992211,DEFIRO
00003172820048100026_005_15-08-2024_13-48-44_Sentença.html,,,,TONNY CARVALHO ARAUJO LUZ,Masculino,Juiz de Direito,15/08/2024 13:48:44,126775204,
00003263820058100128_000_11-07-2024_12-47-29_Sentença.html,0000326-38.2005.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,11/07/2024 12:47:29,123972799,DEFIRO
00003382120178100067_000_01-07-2025_23-58-19_Sentença.html,.,,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,01/07/2025 23:58:19,153053292,IMPROCEDENTE
"00003382120178100067_001_26-06-2025_20-06-57_Ata de audiência com despacho, decisão ou sentença.html",,,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz,26/06/2025 20:06:57,152638114,
00003803020088100053_000_07-04-2025_14-53-06_Sentença.html,0000380-30.2008.8.10.0053,1ª VARA,PORTO FRANCO,BRUNO MENESES DE OLIVEIRA,Masculino,Juiz,07/04/2025 14:53:06,145639932,EXTINTO
00003939620118100029_000_15-07-2025_12-29-35_Sentença.html,0000393-96.2011.8.10.0029,1ª VARA,CAXIAS,BRUNO BARBOSA PINHEIRO,Masculino,JUIZ,15/07/2025 12:29:35,154539279,PROCEDENTE
00003965120158100113_000_29-06-2024_14-00-03_Sentença.html,,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,Juíza,29/06/2024 14:00:03,122406450,PROCEDENTE
"00003965120158100113_002_01-02-2024_09-30-01_Ata de audiência com despacho, decisão ou sentença.html",,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,JUÍZA DE DIREITO,01/02/2024 09:30:00,110986736,DEFIRO
00003973620158100113_000_27-02-2025_12-05-43_Sentença.html,,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,Juíza de Direito,27/02/2025 12:05:43,142123209,IMPROCEDENTE
00003973620158100113_001_19-02-2025_13-23-19_Ata da Audiência.html,0000397-36.2015.8.10.0113,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,JUÍZA DE DIREITO,19/02/2025 13:23:19,141616199,DEFIRO
00004115020088100053_001_22-05-2025_13-42-44_Sentença.html,0000411-50.2008.8.10.0053,1ª VARA,PORTO FRANCO,JOSE FRANCISCO DE SOUZA FERNANDES,Masculino,JUIZ DE DIREITO,22/05/2025 13:42:44,149407696,EXTINTO
00004472820128100029_000_18-04-2024_08-45-15_Sentença.html,0000447-28.2012.8.10.0029,,CAXIAS,JORGE ANTONIO SALES LEITE,Masculino,Juiz de Direito,18/04/2024 08:45:15,116941669,
00004559820108100053_000_01-04-2025_10-27-58_Sentença.html,0000455-98.2010.8.10.0053,,,IRIS DANIELLE DE ARAUJO SANTOS,Feminino,Juíza,01/04/2025 10:27:58,145033904,EXTINTO
00005171020178100081_000_23-02-2024_08-41-42_Sentença.html,,Vara Única,Carolina,MAZURKIEVICZ SARAIVA DE SOUSA CRUZ,Masculino,Juiz,23/02/2024 08:41:42,112749226,PROCEDENTE
00005435520148100067_000_23-06-2025_20-34-01_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,juiz,23/06/2025 20:34:01,152054686,EXTINTO
00005812520148100081_000_30-06-2025_15-43-11_Sentença.html,,Vara Única,Carolina,MAZURKIEVICZ SARAIVA DE SOUSA CRUZ,Masculino,Juiz,30/06/2025 15:43:11,152947291,PROCEDENTE
00005902920148100067_000_11-06-2025_18-39-27_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,11/06/2025 18:39:27,151345564,IMPROCEDENTE
00005942720188100067_000_03-09-2024_14-41-01_Sentença.html,,,,DEBORA JANSEN CASTRO TROVAO,Feminino,Juíza de Direito,03/09/2024 14:41:01,128210986,DEFIRO
"00005942720188100067_001_11-10-2023_08-48-34_Ata de audiência com despacho, decisão ou sentença.html",0000594.27.2018.8.10.0067.,,,BRUNO CHAVES DE OLIVEIRA,Masculino,Juiz,11/10/2023 08:48:34,103550890,
"00005942720188100067_003_21-09-2021_09-16-36_Ata de audiência com despacho, decisão ou sentença.html",594-27.2018.8.10.0067,,,BRUNO CHAVES DE OLIVEIRA,Masculino,Juiz,21/09/2021 09:16:36,52948741,DEFIRO
00006295520168100067_000_05-02-2025_13-08-34_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,05/02/2025 13:08:34,140416357,
00006302420128100053_000_17-06-2025_14-06-27_Sentença.html,0000630-24.2012.8.10.0053,2ª Vara,Porto Franco,FRANCISCO BEZERRA SIMOES,Masculino,Juiz de Direito,17/06/2025 14:06:27,151813767,PROCEDENTE
"00006302420128100053_005_09-10-2023_12-08-37_Ata de audiência com despacho, decisão ou sentença.html",,1ª VARA,PORTO FRANCO,JOSE FRANCISCO DE SOUZA FERNANDES,Masculino,Juiz de Direito,09/10/2023 12:08:37,103422730,DEFIRO
00006463420188100128_000_08-11-2024_11-32-43_Sentença.html,0000646-34.2018.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,08/11/2024 11:32:43,133995397,DEFIRO
00006576020098100037_000_12-07-2024_12-23-14_Sentença.html,,2ª Vara,,NUZA MARIA OLIVEIRA LIMA,Feminino,Juíza de Direito,12/07/2024 12:23:14,124062829,EXTINTO
00007099020128100024_001_25-03-2025_15-52-26_Sentença.html,,,BACABAL,RAPHAEL DE JESUS SERRA RIBEIRO AMORIM,Masculino,Juiz de direito,25/03/2025 15:52:26,144325205,PROCEDENTE
"00007099020128100024_003_14-10-2024_14-59-23_Ata de audiência com despacho, decisão ou sentença.html",,,BACABAL,JOAO PAULO MELLO,Masculino,Juiz de Direito,14/10/2024 14:59:23,131911836,
"00007099020128100024_005_12-09-2024_11-40-30_Ata de audiência com despacho, decisão ou sentença.html",,,BACABAL,JOAO PAULO MELLO,Masculino,Juiz de Direito,12/09/2024 11:40:28,129160229,
00007149520168100049_000_30-04-2024_14-23-41_Sentença.html,0000714-95.2016.8.10.0049,,,CARLOS ROBERTO GOMES DE OLIVEIRA PAULA,Masculino,Juiz,30/04/2024 14:23:40,118014886,DEFIRO
"00007149520168100049_006_29-06-2022_12-32-54_Ata de audiência com despacho, decisão ou sentença.html",714-95.2016.8.10.0049,,,CARLOS ROBERTO GOMES DE OLIVEIRA PAULA,Masculino,JUIZ DE DIREITO,29/06/2022 12:32:54,70307019,
00007149520168100049_011_08-06-2021_11-10-45_Sentença.html,0000714-95.2016.8.10.0049,,,CARLOS ROBERTO GOMES DE OLIVEIRA PAULA,Masculino,Juiz,08/06/2021 11:10:45,46956278,PROCEDENTE
00007363320048100128_000_28-05-2024_17-51-33_Sentença.html,0000736-33.2004.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,28/05/2024 17:51:33,120433306,EXTINTO
00007486720158100029_000_09-10-2025_13-54-26_Sentença.html,0000748-67.2015.8.10.0029,1ª VARA,CAXIAS,AILTON GUTEMBERG CARVALHO LIMA,Masculino,Juiz,09/10/2025 13:54:26,160226507,
00007662120168100040_000_26-09-2024_18-05-23_Sentença.html,,4ª VARA,IMPERATRIZ,ANDRE BEZERRA EWERTON MARTINS,Masculino,Juiz de Direito,26/09/2024 18:05:23,130424705,IMPROCEDENTE
"00007662120168100040_001_20-09-2024_12-22-13_Ata de audiência com despacho, decisão ou sentença.html",0000766-21.2016.8.10.0040,4ª Vara,IMPERATRIZ -,ANDRE BEZERRA EWERTON MARTINS,Masculino,juiz,20/09/2024 12:22:13,129905316,
00007717420148100117_000_29-05-2025_08-46-47_Sentença.html,0000771-74.2014.8.10.0117,VARA ÚNICA,SANTA QUITÉRIA,CRISTIANO REGIS CESAR DA SILVA,Masculino,Juiz de Direito,29/05/2025 08:46:47,150011998,DEFIRO
"00007717420148100117_002_17-08-2024_12-10-53_Ata de audiência com despacho, decisão ou sentença.html",0000771-74.2014.8.10.0117,VARA ÚNICA,SANTA QUITÉRIA,CRISTIANO REGIS CESAR DA SILVA,Masculino,Juiz,17/08/2024 12:10:53,126745387,
"00007717420148100117_005_29-09-2023_12-24-49_Ata de audiência com despacho, decisão ou sentença.html",0000771-74.2014.8.10.0117,,Santa Quitéria,CRISTIANO REGIS CESAR DA SILVA,Masculino,Juiz,29/09/2023 12:24:49,102568862,
"00007717420148100117_006_18-08-2023_15-31-34_Ata de audiência com despacho, decisão ou sentença.html",0000771-74.2014.8.10.0117,VARA ÚNICA,SANTA QUITÉRIA,CRISTIANO REGIS CESAR DA SILVA,Masculino,Juiz,18/08/2023 15:31:34,99442226,
00008129420148100067_000_15-06-2025_09-55-42_Decisão.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,15/06/2025 09:55:42,151525066,IMPROCEDENTE
00008753820188100081_000_03-04-2024_08-41-58_Sentença.html,,Vara Única,Carolina,MAZURKIEVICZ SARAIVA DE SOUSA CRUZ,Masculino,Juiz,03/04/2024 08:41:58,115837646,PROCEDENTE
00008760720148100067_000_29-08-2024_19-10-31_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,29/08/2024 19:10:31,127957031,EXTINTO
00008791220178100081_002_09-09-2024_09-39-52_Sentença.html,0001562-49.2017.8.10.0081,,,DEBORA JANSEN CASTRO TROVAO,Feminino,Juíza de Direito,09/09/2024 09:39:52,128566947,PARCIALMENTE PROCEDENTE
00008833620178100053_001_30-09-2024_21-00-04_Sentença.html,.,2ª VARA,PORTO FRANCO,ALESSANDRA LIMA SILVA,Feminino,Juíza de Direito,30/09/2024 21:00:04,129497376,PROCEDENTE
00008833620178100053_009_08-04-2022_18-17-46_Sentença.html,.,2ª VARA,PORTO FRANCO,ALESSANDRA LIMA SILVA,Feminino,Juíza de Direito,08/04/2022 18:17:45,63625190,
00008843920168100026_001_31-10-2024_14-19-47_Sentença.html,,1ª VARA,BALSAS,HANIEL SOSTENIS RODRIGUES DA SILVA,Indeterminado,,31/10/2024 14:19:47,133464945,
00008843920168100026_002_29-02-2024_12-30-44_Sentença.html,,1ª VARA,BALSAS,HANIEL SOSTENIS RODRIGUES DA SILVA,Indeterminado,,29/02/2024 12:30:44,112663028,
00008884820128100113_001_27-03-2025_17-04-42_Sentença.html,,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,Juíza,27/03/2025 17:04:42,144377414,PROCEDENTE
00008933520158100026_002_11-06-2024_16-01-25_Sentença.html,,1ª VARA,BALSAS,HANIEL SOSTENIS RODRIGUES DA SILVA,Indeterminado,,11/06/2024 16:01:25,120875890,DEFIRO
00008933520158100026_003_28-03-2023_15-22-03_Sentença.html,,1ª VARA,BALSAS,HANIEL SOSTENIS RODRIGUES DA SILVA,Indeterminado,,28/03/2023 15:22:03,88887288,
00008962520128100113_000_11-06-2025_21-28-51_Sentença.html,,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,Juíza de Direito,11/06/2025 21:28:51,151260789,PROCEDENTE
00008962520128100113_003_16-10-2024_12-36-33_Ata da Audiência.html,,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,JUÍZA DE DIREITO,16/10/2024 12:36:33,132103559,DEFIRO
"00008962520128100113_005_10-04-2024_10-18-06_Ata de audiência com despacho, decisão ou sentença.html",.,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,JUÍZA DE DIREITO,10/04/2024 10:18:06,116388729,DEFIRO
00009360720178100024_002_10-06-2024_19-03-24_Sentença.html,0000936-07.2017.8.10.0024,1ª VARA,BACABAL,VANESSA FERREIRA PEREIRA LOPES,Feminino,Juíza,10/06/2024 19:03:24,121027095,DEFIRO
00009399020188100067_000_22-04-2025_18-51-41_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,22/04/2025 18:51:41,146666692,IMPROCEDENTE
00009829820058100029_000_30-06-2025_21-31-55_Sentença.html,0000982-98.2005.8.10.0029,1ª VARA,CAXIAS,BRUNO BARBOSA PINHEIRO,Masculino,JUIZ,30/06/2025 21:31:55,152998904,IMPROCEDENTE
00010002720178100053_000_30-07-2024_18-36-06_Sentença.html,0001000-27.2017.8.10.0053,1ª VARA,PORTO FRANCO,JOSE FRANCISCO DE SOUZA FERNANDES,Masculino,JUIZ DE DIREITO,30/07/2024 18:36:06,125367448,EXTINTO SEM RESOLUÇÃO DE MÉRITO
00010212120168100026_000_20-08-2024_22-13-32_Sentença.html,,2ªvara,,TONNY CARVALHO ARAUJO LUZ,Masculino,Juiz de Direito,20/08/2024 22:13:32,127182204,PROCEDENTE
"00010212120168100026_003_09-08-2022_15-45-56_Ata de audiência com despacho, decisão ou sentença.html",,2ª  Vara,Balsas - MA,TONNY CARVALHO ARAUJO LUZ,Masculino,Juiz de Direito,09/08/2022 15:45:56,73314089,
00010262220138100067_000_07-08-2025_13-17-53_Sentença.html,.,,ANAJATUBA,BRUNA FERNANDA OLIVEIRA DA COSTA,Feminino,Juíza de Direito,07/08/2025 13:17:53,155100282,EXTINTO
00010297420138100067_000_18-04-2025_20-37-37_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,18/04/2025 20:37:37,146559559,IMPROCEDENTE
"00010297420138100067_003_21-09-2021_09-16-31_Ata de audiência com despacho, decisão ou sentença.html",1029-74.2013.8.10.0067,,,BRUNO CHAVES DE OLIVEIRA,Masculino,Juiz,21/09/2021 09:16:31,52946914,
00010375120138100067_000_10-02-2025_21-55-32_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,10/02/2025 21:55:32,140875988,IMPROCEDENTE
00010433120068100026_003_15-08-2024_23-45-36_Sentença.html,,,,TONNY CARVALHO ARAUJO LUZ,Masculino,Juiz de Direito,15/08/2024 23:45:36,126825360,IMPROCEDENTE
"00010433120068100026_005_18-10-2022_18-22-25_Ata de audiência com despacho, decisão ou sentença.html",,2ª VARA,,TONNY CARVALHO ARAUJO LUZ,Masculino,Juiz de Direito,18/10/2022 18:22:25,78479999,DEFIRO
00010723520188100067_000_07-02-2025_23-19-22_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,07/02/2025 23:19:22,140487641,IMPROCEDENTE
00010930320178100081_000_16-10-2025_16-16-18_Ata da Audiência.html,,Vara Única,Carolina,MAZURKIEVICZ SARAIVA DE SOUSA CRUZ,Masculino,Juiz de Direito,16/10/2025 16:16:18,163262968,IMPROCEDENTE
00011078420108100128_006_10-01-2024_18-26-06_Sentença.html,0001107-84.2010.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,10/01/2024 18:26:06,109569544,EXTINTO
00011095420108100128_000_20-08-2024_18-37-48_Sentença.html,0001109-54.2010.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,20/08/2024 18:37:47,127174595,EXTINTO
00011232220138100067_001_10-02-2025_22-00-59_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,10/02/2025 22:00:59,140878076,IMPROCEDENTE
00011267420138100067_000_15-05-2024_11-00-52_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,15/05/2024 11:00:52,119128405,EXTINTO
00011345120138100067_000_21-10-2025_16-32-03_Sentença.html,.,,ANAJATUBA,BRENNO LIVIO BARBOSA BEZERRA,Masculino,Juiz de Direito,21/10/2025 16:32:03,163573712,PROCEDENTE
"00011345120138100067_002_15-10-2024_17-38-21_Ata de audiência com despacho, decisão ou sentença.html",0001134-51.2013.8.10.0067,,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz,15/10/2024 17:38:21,132070301,
"00011345120138100067_003_17-09-2024_13-44-51_Ata de audiência com despacho, decisão ou sentença.html",0001134-51.2013.8.10.0067,Vara Única,Anajatuba,GEOVANE DA SILVA SANTOS,Masculino,Juiz,17/09/2024 13:44:51,129523813,
00011346820138100029_000_10-09-2024_09-26-20_Sentença.html,0001134-68.2013.8.10.0029,,CAXIAS,JORGE ANTONIO SALES LEITE,Masculino,Juiz de Direito,10/09/2024 09:26:20,128893488,IMPROCEDENTE
00011355320138100029_000_10-09-2024_09-28-30_Sentença.html,0001135-53.2013.8.10.0029,,CAXIAS,JORGE ANTONIO SALES LEITE,Masculino,Juiz de Direito,10/09/2024 09:28:29,128893493,IMPROCEDENTE
00011363820138100029_000_10-09-2024_09-30-50_Sentença.html,0001136-38.2013.8.10.0029,,CAXIAS,JORGE ANTONIO SALES LEITE,Masculino,Juiz de Direito,10/09/2024 09:30:50,128893498,IMPROCEDENTE
00011372320138100029_000_10-09-2024_09-32-42_Sentença.html,0001137-23.2013.8.10.0029,,CAXIAS,JORGE ANTONIO SALES LEITE,Masculino,Juiz de Direito,10/09/2024 09:32:41,128893508,IMPROCEDENTE
